ID,Money related,Personal information related,Inducement words related,Promotional content related,Kinship related,Label
71,money,id,problem,service,son,1
72,bill,details,problem,internet,son,1
73,dollars,id,help,gift,children,1
74,insurance,id,irs,offer,dad,1
75,money,id,police,sales,son,1
76,money,id,irs,sales,son,1
77,money,id,irs,gift,husband,1
78,money,address,irs,sales,son,1
79,money,address,irs,order,son,1
80,card,id,irs,gift,husband,1
81,insurance,information,irs,service,son,1
82,money,id,irs,order,son,1
83,card,id,irs,internet,son,1
84,taxes,id,police,sales,son,1
85,insurance,id,irs,gift,mother,1
86,bank,account,irs,gift,son,1
87,money,id,irs,course,son,1
88,dollars,id,irs,gift,wife,1
89,warrant,id,security,activity,son,1
90,card,id,police,gift,children,1
91,money,id,accident,gift,children,1
92,money,id,irs,gift,husband,1
93,bill,id,problem,sales,son,1
94,money,id,irs,sales,son,1
95,insurance,id,irs,gift,husband,1
96,money,id,police,sales,son,1
97,insurance,information,message,gift,son,1
98,taxes,account,accident,sales,son,1
99,money,id,irs,sales,son,1
100,money,address,irs,sales,son,1
101,warrant,details,accident,sales,son,1
102,bill,account,irs,gift,son,1
103,money,id,irs,telemarketer,son,1
104,warrant,address,irs,sales,son,1
105,insurance,id,message,course,son,1
106,money,id,problem,sales,son,1
107,money,id,irs,offer,son,1
108,bill,id,irs,internet,son,1
109,bill,id,irs,gift,children,1
110,bill,id,message,sales,son,1
111,money,id,irs,gift,husband,1
112,warrant,id,irs,sales,son,1
113,money,id,problem,sales,son,1
114,bill,id,support,offer,son,1
115,dollars,account,irs,gift,son,1
116,money,id,irs,gift,husband,1
117,insurance,id,irs,gift,husband,1
118,money,id,irs,gift,husband,1
119,card,id,device,sales,son,1
120,bank,id,irs,order,son,1
121,insurance,id,security,sales,son,1
122,money,id,irs,gift,husband,1
123,money,id,irs,gift,husband,1
124,money,id,irs,gift,husband,1
125,insurance,id,irs,gift,husband,1
126,bank,id,irs,gift,husband,1
127,money,id,irs,gift,husband,1
128,money,id,irs,gift,husband,1
129,bank,id,irs,gift,husband,1
130,bank,id,irs,gift,husband,1
131,dollars,id,irs,gift,husband,1
132,card,id,irs,gift,husband,1
133,card,id,irs,gift,husband,1
134,card,id,irs,gift,husband,1
135,bank,id,irs,gift,husband,1
136,bank,id,irs,sales,son,1
137,bank,id,problem,sales,son,1
138,bank,id,irs,sales,son,1
139,money,id,irs,gift,parents,1
140,bank,account,support,gift,son,1
141,bank,id,irs,gift,husband,1
142,bank,id,irs,gift,husband,1
143,bank,account,irs,activity,son,1
144,warrant,id,access,sales,son,1
145,bill,account,irs,gift,son,1
146,bill,account,irs,offer,son,1
147,card,id,irs,gift,husband,1
148,money,id,irs,gift,husband,1
149,money,id,problem,sales,son,1
150,bank,id,irs,gift,husband,1
151,card,account,irs,gift,son,1
152,bank,details,message,service,son,1
153,warrant,account,security,gift,son,1
154,insurance,details,message,service,son,1
155,bill,id,virus,sales,son,1
156,bank,id,security,service,son,1
157,bank,id,security,sales,son,1
158,bill,information,virus,sales,son,1
159,money,id,police,system,son,1
160,money,id,irs,gift,son,1
161,card,account,irs,gift,husband,1
162,taxes,id,irs,gift,children,1
163,money,account,message,gift,son,1
164,money,id,irs,service,son,1
165,money,account,problem,sales,son,1
166,warrant,account,accident,gift,children,1
167,insurance,account,irs,gift,son,1
168,money,address,irs,gift,husband,1
169,bank,address,irs,gift,son,1
170,credit,id,irs,sales,son,1
171,bank,id,irs,gift,husband,1
172,bill,details,irs,sales,husband,1
173,insurance,id,irs,gift,husband,1
174,insurance,id,irs,system,mother,1
175,bill,account,support,sales,husband,1
176,money,id,irs,sales,son,1
177,money,id,irs,gift,husband,1
178,bill,account,irs,course,son,1
179,money,id,irs,sales,son,1
180,bank,id,security,program,son,1
181,bill,details,security,activity,husband,1
182,insurance,account,irs,gift,husband,1
183,bill,id,security,order,son,1
184,warrant,id,police,gift,husband,1
185,insurance,details,police,service,husband,1
186,bank,account,irs,gift,son,1
187,bank,id,irs,sales,son,1
188,dollars,id,problem,course,son,1
189,card,id,police,sales,husband,1
190,bill,id,irs,gift,wife,1
191,insurance,id,irs,system,son,1
192,money,details,irs,gift,wife,1
193,bill,id,irs,gift,son,1
194,warrant,id,problem,sales,husband,1
195,money,id,irs,sales,son,1
196,insurance,account,irs,sales,husband,1
197,money,id,irs,sales,husband,1
198,bill,id,problem,service,parents,1
199,warrant,id,accident,course,son,1
200,money,id,police,course,son,1
201,credit,id,irs,program,husband,1
202,money,id,police,sales,son,1
203,card,id,irs,sales,son,1
204,bank,id,police,sales,son,1
205,warrant,id,irs,sales,son,1
206,money,account,irs,order,son,1
207,warrant,id,irs,sales,son,1
208,money,account,irs,gift,son,1
209,insurance,information,virus,internet,son,1
210,bank,id,device,service,son,1
211,money,account,irs,gift,son,1
212,money,id,irs,course,husband,1
213,insurance,account,problem,sales,son,1
214,taxes,id,support,sales,son,1
215,money,account,security,sales,son,1
216,money,id,problem,program,husband,1
217,insurance,id,irs,gift,son,1
218,warrant,address,police,sales,husband,1
219,bank,id,accident,sales,son,1
220,bank,details,support,sales,son,1
221,bill,id,irs,gift,son,1
222,insurance,id,irs,gift,son,1
223,bill,id,police,order,son,1
224,bank,address,accident,course,son,1
225,bank,account,irs,gift,son,1
226,money,address,message,gift,son,1
227,bank,id,irs,site,son,1
228,insurance,id,irs,sales,son,1
229,insurance,id,irs,gift,son,1
230,money,account,irs,gift,son,1
231,bill,id,access,telemarketer,son,1
232,money,id,irs,course,son,1
233,bank,id,irs,gift,son,1
234,credit,email,irs,sales,son,1
235,insurance,address,irs,sales,son,1
236,insurance,id,message,telemarketer,wife,1
237,insurance,id,police,service,son,1
238,warrant,address,security,course,husband,1
239,bank,account,police,gift,son,1
240,insurance,id,irs,gift,son,1
241,money,id,irs,sales,son,1
242,bill,account,accident,service,husband,1
243,bank,account,accident,course,son,1
244,bank,id,accident,program,son,1
245,money,id,irs,internet,son,1
246,bank,id,security,sales,son,1
247,card,information,message,gift,son,1
248,card,id,police,gift,children,1
249,insurance,id,help,sales,son,1
250,money,id,police,gift,wife,1
251,money,id,message,gift,husband,1
252,taxes,details,support,service,son,1
253,money,account,irs,gift,son,1
254,insurance,details,irs,gift,son,1
255,warrant,details,irs,gift,son,1
256,bank,details,support,gift,son,1
257,insurance,id,irs,gift,husband,1
258,bank,address,message,gift,husband,1
259,money,id,problem,service,son,1
260,warrant,id,irs,gift,son,1
261,money,account,police,sales,son,1
262,bank,information,irs,gift,son,1
263,bank,id,irs,site,son,1
264,bill,id,irs,offer,son,1
265,money,id,irs,gift,husband,1
266,bank,id,irs,sales,son,1
267,bank,details,support,gift,son,1
268,money,id,irs,gift,mother,1
269,insurance,id,irs,sales,son,1
270,money,id,problem,system,mother,1
271,dollars,account,irs,sales,husband,1
272,money,id,virus,gift,son,1
273,money,id,irs,service,husband,1
274,money,account,irs,gift,son,1
275,bill,id,irs,service,son,1
276,insurance,id,irs,gift,son,1
277,dollars,id,irs,system,wife,1
278,insurance,id,support,gift,dad,1
279,card,id,accident,order,son,1
280,bill,details,virus,course,children,1
281,bill,id,message,sales,son,1
282,dollars,id,support,gift,husband,1
283,card,account,irs,sales,husband,1
284,taxes,account,support,internet,son,1
285,insurance,details,irs,sales,son,1
286,insurance,id,irs,sales,husband,1
287,bank,id,police,service,son,1
288,money,account,problem,gift,son,1
289,bank,id,irs,sales,parents,1
290,bill,information,accident,course,son,1
291,warrant,id,irs,system,son,1
292,bill,account,irs,gift,son,1
293,insurance,account,irs,gift,husband,1
294,money,id,message,gift,wife,1
295,money,account,irs,gift,husband,1
296,bank,id,irs,gift,wife,1
297,money,id,irs,gift,husband,1
298,bank,address,problem,sales,son,1
299,bill,id,irs,sales,son,1
300,money,account,irs,gift,mother,1
301,credit,id,support,system,son,1
302,warrant,id,irs,course,husband,1
303,card,email,accident,sales,wife,1
304,bank,account,virus,gift,husband,1
305,bill,id,irs,service,husband,1
306,card,address,help,system,son,1
307,warrant,id,problem,service,wife,1
308,card,id,irs,sales,son,1
309,insurance,id,accident,system,son,1
310,warrant,id,irs,service,son,1
311,bill,account,irs,gift,son,1
312,warrant,account,accident,gift,son,1
313,bill,id,irs,service,son,1
314,money,id,police,sales,husband,1
315,bank,account,support,sales,son,1
316,dollars,address,irs,gift,son,1
317,bill,id,irs,gift,son,1
318,insurance,account,irs,course,son,1
319,insurance,id,irs,sales,mother,1
320,bill,id,irs,gift,husband,1
321,money,id,police,gift,son,1
322,card,account,support,gift,son,1
323,warrant,account,irs,offer,son,1
324,dollars,id,police,gift,son,1
325,money,id,arrest,course,husband,1
326,dollars,id,irs,sales,son,1
327,taxes,details,support,sales,son,1
328,warrant,id,police,gift,son,1
329,money,id,irs,sales,husband,1
330,bank,id,irs,gift,husband,1
331,bill,id,irs,sales,husband,1
332,bank,id,irs,system,son,1
333,taxes,id,message,sales,husband,1
334,bank,id,irs,service,husband,1
335,insurance,id,irs,gift,son,1
336,credit,id,irs,service,son,1
337,money,id,irs,gift,husband,1
338,bill,id,help,sales,son,1
339,dollars,account,problem,gift,mother,1
340,bank,details,irs,site,son,1
341,insurance,id,irs,system,son,1
342,insurance,account,irs,gift,son,1
343,warrant,information,irs,gift,son,1
344,bank,account,message,sales,wife,1
345,money,details,problem,sales,wife,1
346,insurance,id,security,sales,son,1
347,taxes,account,police,activity,son,1
348,bank,id,help,sales,son,1
349,bill,id,help,sales,husband,1
350,insurance,account,irs,gift,son,1
351,bill,account,police,gift,husband,1
352,bank,account,irs,gift,son,1
353,insurance,id,irs,sales,son,1
354,insurance,information,access,internet,son,1
355,bank,details,support,gift,son,1
356,card,account,irs,system,son,1
357,taxes,id,irs,internet,son,1
358,bank,id,irs,activity,son,1
359,money,account,irs,gift,son,1
360,warrant,id,virus,sales,son,1
361,card,id,irs,gift,son,1
362,bank,id,police,sales,parents,1
363,bill,details,irs,sales,son,1
364,bank,id,irs,gift,son,1
365,card,id,police,gift,son,1
366,taxes,id,irs,offer,son,1
367,bank,account,accident,service,son,1
368,warrant,account,problem,sales,son,1
369,money,account,virus,sales,son,1
370,bank,account,irs,gift,son,1
371,bill,address,government,site,son,1
372,insurance,address,irs,gift,son,1
373,warrant,account,irs,order,son,1
374,bank,id,irs,gift,son,1
375,money,id,security,gift,husband,1
376,money,id,accident,gift,wife,1
377,bill,account,irs,gift,son,1
378,money,id,security,sales,children,1
379,bill,id,government,gift,son,1
380,insurance,account,irs,service,son,1
381,warrant,account,message,sales,husband,1
382,warrant,id,access,sales,husband,1
383,credit,id,irs,gift,husband,1
384,warrant,details,support,sales,son,1
385,bill,id,irs,sales,son,1
386,dollars,id,security,gift,son,1
387,credit,id,irs,sales,children,1
388,money,id,irs,sales,children,1
389,bank,id,irs,sales,children,1
390,insurance,id,support,sales,son,1
391,insurance,id,irs,gift,son,1
392,bill,id,police,sales,son,1
393,taxes,id,irs,sales,son,1
394,warrant,id,police,site,son,1
395,insurance,id,irs,sales,dad,1
396,bill,id,security,sales,son,1
397,insurance,email,irs,service,husband,1
398,warrant,id,irs,gift,son,1
399,insurance,id,irs,order,son,1
400,warrant,account,message,sales,husband,1
401,taxes,id,irs,gift,children,1
402,money,account,problem,system,son,1
403,card,id,support,gift,son,1
404,bank,id,support,sales,son,1
405,money,id,irs,gift,son,1
406,insurance,id,irs,sales,son,1
407,warrant,id,irs,gift,son,1
408,warrant,id,irs,sales,wife,1
409,bill,details,virus,sales,son,1
410,money,account,irs,gift,son,1
411,dollars,id,message,sales,son,1
412,insurance,id,irs,activity,son,1
413,insurance,id,police,sales,son,1
414,money,id,arrest,sales,son,1
415,bank,account,irs,service,parents,1
416,bank,account,irs,gift,wife,1
417,warrant,account,irs,sales,son,1
418,bank,id,support,internet,son,1
419,bill,id,irs,sales,son,1
420,bank,id,help,gift,son,1
421,insurance,id,irs,gift,son,1
422,dollars,id,problem,gift,son,1
423,money,id,irs,gift,son,1
424,card,account,police,gift,parents,1
425,insurance,information,irs,gift,husband,1
426,dollars,id,irs,sales,son,1
427,bank,id,accident,course,son,1
428,bank,account,irs,gift,son,1
429,card,account,help,telemarketer,husband,1
430,bill,id,support,sales,son,1
431,money,id,accident,gift,children,1
432,bill,id,irs,gift,son,1
433,money,id,security,gift,husband,1
434,bank,details,irs,service,son,1
435,bank,id,virus,gift,son,1
436,insurance,id,problem,service,son,1
437,card,information,irs,sales,son,1
438,money,id,irs,gift,husband,1
439,insurance,id,message,gift,son,1
440,bill,id,police,sales,husband,1
441,insurance,id,problem,gift,son,1
442,bill,id,device,course,wife,1
443,bill,id,government,system,son,1
444,money,account,irs,sales,wife,1
445,bank,id,police,course,son,1
446,card,address,irs,system,son,1
447,bank,id,security,course,son,1
448,bill,id,security,service,son,1
449,bank,id,irs,gift,husband,1
450,money,id,support,offer,son,1
451,dollars,id,irs,sales,husband,1
452,dollars,id,irs,gift,son,1
453,bank,account,message,sales,wife,1
454,money,account,irs,sales,husband,1
455,card,account,message,service,son,1
456,taxes,id,irs,gift,children,1
457,warrant,id,security,sales,parents,1
458,credit,id,support,sales,son,1
459,insurance,id,irs,gift,wife,1
460,warrant,id,irs,sales,son,1
461,warrant,id,irs,gift,husband,1
462,bill,account,security,gift,son,1
463,bank,id,irs,sales,mother,1
464,insurance,address,irs,gift,son,1
465,bank,id,irs,service,wife,1
466,dollars,id,irs,sales,husband,1
467,insurance,id,irs,gift,husband,1
468,bank,account,irs,gift,dad,1
469,money,details,accident,gift,son,1
470,money,id,help,gift,husband,1
471,warrant,id,virus,offer,husband,1
472,dollars,address,irs,system,son,1
473,insurance,account,device,gift,parents,1
474,bill,id,problem,sales,son,1
475,money,id,support,sales,son,1
476,insurance,id,government,gift,husband,1
477,card,address,support,system,son,1
478,bill,id,support,sales,son,1
479,credit,id,irs,telemarketer,son,1
480,insurance,id,irs,gift,son,1
481,dollars,information,message,gift,son,1
482,warrant,account,support,gift,son,1
483,insurance,id,security,gift,wife,1
484,money,account,irs,offer,son,1
485,money,id,problem,site,wife,1
486,bill,id,message,gift,son,1
487,insurance,account,support,gift,son,1
488,insurance,account,problem,offer,son,1
489,money,id,message,system,husband,1
490,insurance,account,irs,service,husband,1
491,money,id,irs,gift,wife,1
492,warrant,id,irs,gift,son,1
493,dollars,id,irs,offer,son,1
494,bank,id,problem,gift,mother,1
495,credit,id,irs,gift,son,1
496,insurance,address,security,gift,son,1
497,bank,account,irs,program,son,1
498,dollars,id,message,gift,son,1
499,insurance,account,support,gift,son,1
500,warrant,id,irs,sales,children,1
501,money,account,message,sales,son,1
502,money,id,irs,service,son,1
503,bank,address,help,gift,husband,1
504,dollars,address,irs,sales,son,1
505,taxes,id,irs,sales,son,1
506,insurance,id,irs,gift,wife,1
507,money,id,problem,sales,son,1
508,bill,account,message,service,son,1
509,bill,id,irs,gift,son,1
510,money,id,irs,sales,son,1
511,taxes,id,irs,gift,son,1
512,card,id,help,gift,son,1
513,insurance,id,irs,course,son,1
514,money,id,security,sales,son,1
515,bank,id,irs,system,son,1
516,card,id,irs,sales,children,1
517,money,id,irs,sales,husband,1
518,bill,id,irs,internet,son,1
519,warrant,account,irs,sales,children,1
520,bank,id,irs,gift,husband,1
521,money,id,support,site,husband,1
522,money,id,irs,sales,son,1
523,warrant,id,irs,service,son,1
524,card,id,message,sales,son,1
525,insurance,id,irs,service,son,1
526,insurance,id,irs,sales,parents,1
527,taxes,id,irs,offer,son,1
528,bill,id,help,sales,husband,1
529,bank,id,irs,offer,son,1
530,insurance,id,access,service,son,1
531,money,account,irs,gift,husband,1
532,bank,account,irs,gift,wife,1
533,card,id,access,sales,husband,1
534,bank,id,irs,gift,son,1
535,money,id,irs,gift,son,1
536,money,id,irs,gift,husband,1
537,money,id,message,system,children,1
538,warrant,account,problem,sales,son,1
539,bill,id,security,course,son,1
540,bill,id,irs,service,son,1
541,money,details,irs,gift,husband,1
542,insurance,id,support,sales,son,1
543,bill,id,irs,sales,son,1
544,bill,id,irs,sales,son,1
545,bank,address,accident,offer,husband,1
546,money,id,irs,sales,son,1
547,warrant,details,irs,sales,husband,1
548,money,address,irs,sales,husband,1
549,bank,id,irs,gift,son,1
550,insurance,id,help,sales,husband,1
551,warrant,account,irs,sales,son,1
552,money,id,irs,gift,children,1
553,warrant,id,irs,service,husband,1
554,bill,id,arrest,sales,son,1
555,bank,id,irs,gift,husband,1
556,insurance,account,police,activity,son,1
557,insurance,id,message,activity,son,1
558,money,id,irs,gift,son,1
559,bank,id,security,sales,children,1
560,insurance,id,help,gift,son,1
561,money,account,irs,gift,husband,1
562,insurance,id,accident,gift,son,1
563,insurance,id,irs,sales,husband,1
564,bill,account,help,sales,husband,1
565,bill,id,government,sales,son,1
566,money,id,irs,sales,wife,1
567,insurance,id,problem,sales,son,1
568,insurance,id,message,system,husband,1
569,bank,id,police,sales,son,1
570,insurance,id,support,sales,son,1
571,bill,id,police,sales,son,1
572,money,id,irs,gift,son,1
573,warrant,id,irs,service,son,1
574,card,address,virus,service,son,1
575,money,id,irs,gift,son,1
576,card,id,support,gift,son,1
577,money,id,irs,gift,husband,1
578,warrant,id,irs,sales,children,1
579,credit,id,access,offer,son,1
580,bill,details,irs,program,husband,1
581,dollars,id,irs,program,son,1
582,insurance,id,irs,sales,son,1
583,bill,id,irs,system,son,1
584,insurance,account,irs,offer,son,1
585,bank,id,irs,service,wife,1
586,dollars,account,message,gift,son,1
587,insurance,id,irs,offer,son,1
588,bill,id,support,sales,son,1
589,money,id,help,sales,children,1
590,insurance,id,problem,gift,son,1
591,money,id,accident,internet,son,1
592,insurance,id,irs,offer,son,1
593,insurance,information,support,sales,son,1
594,bank,account,accident,site,son,1
595,warrant,id,support,sales,husband,1
596,taxes,id,irs,sales,son,1
597,dollars,id,message,sales,son,1
598,bill,id,irs,sales,son,1
599,warrant,account,security,gift,son,1
600,insurance,id,problem,service,son,1
601,bank,id,police,course,son,1
602,insurance,id,police,sales,son,1
603,taxes,address,irs,gift,son,1
604,bill,id,irs,sales,son,1
605,bank,id,irs,gift,son,1
606,money,id,irs,offer,husband,1
607,taxes,id,irs,sales,son,1
608,bill,id,irs,sales,son,1
609,insurance,address,accident,gift,husband,1
610,bill,id,irs,sales,son,1
611,insurance,id,message,sales,son,1
612,dollars,id,irs,sales,son,1
613,insurance,account,irs,gift,son,1
614,insurance,id,irs,service,son,1
615,insurance,id,irs,system,husband,1
616,bill,id,police,sales,son,1
617,dollars,id,irs,gift,son,1
618,bill,account,virus,sales,dad,1
619,credit,id,irs,course,son,1
620,bill,id,device,gift,son,1
621,card,id,irs,sales,son,1
622,insurance,id,irs,system,son,1
623,bank,id,irs,activity,children,1
624,bank,id,irs,gift,mother,1
625,card,id,police,sales,son,1
626,bank,id,security,sales,son,1
627,bank,id,support,course,son,1
628,bank,account,irs,gift,son,1
629,bank,id,accident,order,son,1
630,insurance,id,irs,gift,mother,1
631,bill,id,irs,gift,husband,1
632,insurance,email,government,sales,son,1
633,warrant,id,message,service,son,1
634,money,account,irs,gift,husband,1
635,warrant,id,irs,gift,son,1
636,insurance,address,message,offer,son,1
637,bill,id,support,sales,son,1
638,money,account,access,sales,wife,1
639,money,id,problem,gift,son,1
640,money,email,irs,gift,husband,1
641,bank,id,irs,gift,wife,1
642,money,id,irs,gift,son,1
643,card,id,irs,sales,son,1
644,bill,id,irs,sales,son,1
645,money,id,irs,gift,husband,1
646,money,account,irs,offer,son,1
647,credit,account,irs,gift,mother,1
648,card,account,police,course,son,1
649,money,id,irs,gift,husband,1
650,bank,details,security,sales,husband,1
651,bank,details,irs,order,son,1
652,taxes,address,support,sales,son,1
653,insurance,id,virus,sales,son,1
654,card,id,irs,gift,son,1
655,bank,id,police,activity,son,1
656,card,information,support,offer,son,1
657,warrant,id,support,service,husband,1
658,bill,information,support,offer,son,1
659,bill,details,support,sales,son,1
660,bill,id,security,gift,mother,1
661,taxes,id,irs,gift,son,1
662,card,id,help,gift,husband,1
663,bank,id,irs,service,son,1
664,bill,account,government,gift,son,1
665,bill,information,irs,offer,husband,1
666,bank,id,irs,offer,son,1
667,credit,id,irs,internet,son,1
668,taxes,details,security,site,son,1
669,money,id,irs,sales,son,1
670,taxes,id,irs,sales,son,1
671,dollars,id,message,sales,wife,1
672,insurance,id,police,course,wife,1
673,bank,id,help,gift,wife,1
674,bank,id,irs,gift,children,1
675,warrant,id,irs,gift,son,1
676,taxes,id,irs,gift,son,1
677,warrant,id,problem,service,children,1
678,insurance,id,irs,gift,son,1
679,dollars,account,irs,sales,parents,1
680,insurance,details,irs,service,son,1
681,warrant,account,government,order,son,1
682,warrant,information,irs,course,son,1
683,credit,id,accident,gift,son,1
684,dollars,account,irs,course,son,1
685,money,id,irs,gift,son,1
686,warrant,id,irs,sales,son,1
687,bank,id,police,system,son,1
688,dollars,information,irs,offer,son,1
689,bank,id,irs,gift,husband,1
690,money,id,irs,sales,son,1
691,bank,id,message,sales,husband,1
692,taxes,id,irs,gift,children,1
693,card,account,irs,gift,son,1
694,insurance,account,irs,gift,son,1
695,bank,details,security,sales,son,1
696,bill,id,police,service,son,1
697,money,account,irs,gift,son,1
698,insurance,id,problem,site,son,1
699,card,id,help,offer,husband,1
700,money,account,access,gift,son,1
701,dollars,id,message,site,husband,1
702,bill,details,irs,service,son,1
703,card,address,irs,sales,son,1
704,dollars,id,problem,gift,husband,1
705,money,id,irs,system,son,1
706,insurance,account,help,gift,children,1
707,money,id,police,gift,son,1
708,bank,id,virus,sales,dad,1
709,card,id,help,sales,children,1
710,dollars,id,irs,gift,son,1
711,bank,id,security,course,husband,1
712,insurance,email,irs,sales,son,1
713,card,id,police,sales,husband,1
714,money,id,irs,service,son,1
715,bank,account,irs,internet,son,1
716,bank,id,irs,sales,son,1
717,bank,address,security,gift,wife,1
718,bank,address,irs,sales,son,1
719,money,information,irs,gift,son,1
720,bill,id,irs,gift,husband,1
721,money,id,security,sales,husband,1
722,bill,id,irs,activity,son,1
723,money,id,irs,system,son,1
724,insurance,details,device,sales,son,1
725,bill,id,irs,course,son,1
726,dollars,id,problem,sales,son,1
727,insurance,id,irs,gift,son,1
728,bill,id,irs,gift,husband,1
729,insurance,id,irs,course,son,1
730,insurance,account,help,sales,husband,1
731,bank,account,help,gift,husband,1
732,money,email,virus,sales,husband,1
733,bill,id,accident,gift,son,1
734,bill,id,message,sales,husband,1
735,warrant,id,irs,gift,husband,1
736,insurance,id,accident,system,son,1
737,bill,id,support,sales,son,1
738,bank,information,police,gift,son,1
739,insurance,id,irs,gift,parents,1
740,insurance,details,message,sales,husband,1
741,money,id,security,sales,son,1
742,bank,id,virus,sales,son,1
743,insurance,information,problem,gift,husband,1
744,money,account,support,sales,son,1
745,bank,information,irs,sales,son,1
746,money,account,irs,sales,son,1
747,bill,id,security,site,son,1
748,bank,id,security,gift,husband,1
749,dollars,id,message,offer,son,1
750,taxes,account,irs,gift,son,1
751,insurance,id,irs,telemarketer,son,1
752,bank,account,problem,gift,son,1
753,card,id,problem,gift,son,1
754,insurance,id,irs,gift,son,1
755,bill,id,virus,program,children,1
756,bill,account,irs,gift,son,1
757,insurance,id,message,system,husband,1
758,bill,id,help,offer,son,1
759,bank,id,irs,offer,husband,1
760,bank,account,problem,gift,son,1
761,taxes,id,irs,gift,children,1
762,money,id,irs,gift,husband,1
763,insurance,details,irs,gift,son,1
764,warrant,account,irs,system,son,1
765,dollars,id,support,gift,son,1
766,bill,id,government,site,son,1
767,card,details,accident,gift,parents,1
768,bank,address,irs,sales,son,1
769,card,id,message,course,wife,1
770,bill,id,irs,sales,son,1
771,insurance,id,support,system,son,1
772,money,id,irs,gift,son,1
773,taxes,details,irs,gift,son,1
774,money,account,irs,system,husband,1
775,money,id,message,sales,parents,1
776,bill,account,irs,gift,husband,1
777,insurance,id,police,sales,husband,1
778,money,details,irs,gift,children,1
779,warrant,id,security,order,son,1
780,money,id,irs,sales,son,1
781,card,account,problem,sales,son,1
782,card,id,irs,gift,son,1
783,dollars,details,problem,offer,son,1
784,money,account,irs,system,son,1
785,bank,account,problem,offer,son,1
786,money,account,irs,sales,husband,1
787,card,account,security,service,son,1
788,taxes,address,security,gift,son,1
789,card,id,irs,sales,husband,1
790,bank,id,irs,sales,dad,1
791,card,information,irs,gift,son,1
792,insurance,id,irs,sales,son,1
793,insurance,id,irs,gift,son,1
794,dollars,account,message,course,son,1
795,dollars,id,irs,gift,son,1
796,dollars,id,police,gift,son,1
797,money,id,irs,sales,son,1
798,bill,address,access,order,parents,1
799,money,id,help,sales,son,1
800,insurance,id,police,service,husband,1
801,money,information,police,sales,parents,1
802,money,account,irs,service,husband,1
803,bank,id,arrest,gift,son,1
804,bank,id,virus,gift,husband,1
805,money,id,irs,gift,son,1
806,bill,address,irs,sales,wife,1
807,bill,id,support,activity,son,1
808,insurance,id,arrest,sales,wife,1
809,insurance,id,security,gift,children,1
810,warrant,details,security,gift,son,1
811,insurance,information,irs,gift,son,1
812,insurance,id,irs,service,son,1
813,money,id,support,service,son,1
814,money,account,message,gift,son,1
815,bank,id,police,sales,son,1
816,credit,id,irs,service,son,1
817,dollars,id,accident,gift,son,1
818,bill,id,irs,site,son,1
819,warrant,details,security,telemarketer,son,1
820,bank,id,virus,sales,wife,1
821,insurance,id,irs,gift,children,1
822,insurance,account,irs,gift,son,1
823,money,account,irs,gift,son,1
824,warrant,id,security,sales,husband,1
825,bank,details,security,sales,son,1
826,insurance,id,irs,gift,husband,1
