Scam Record,Content
11,"I live in Thailand but answer my phone in English, mostly to weed out sales, wrong number or scam calls. Hearing English, callers usually hang up.
I was 2 hours early for a corporate teaching assignment and was at an open-air coffee shop in the 3-floor high lobby. Areas were divided by crisscross fences and potted trees.
A mobile “boiler room” group was making their calls and having coffee at a nearby table. I was seated close to the fence but hidden by a bush.
I have ‘teacher ears’ (meaning I can hear conversations from a distance), and I understand Thai.
Being bored, I listened in on some of the"
12,"A friend of mine recommends answering the phone “Fraud Detection Bureau. How may I direct your call?” when you get an out-of-state number you don’t recognize.
I got the Microsoft employee with an Indian accent call once. The conversation went like this:
“Sir, I am calling you from Microsoft. Are you aware someone is attempting to perform an exploit on your computer?”
“Yeah, that’s me. I’m a hacker. In fact, I’ve already traced your call and downloaded a virus onto your computer.”
“What! I didn’t say anything about a virus!”
“Oh, sorry about that. Well, gotta go. Good luck with that virus.”"
13,"He was a typical IRS scammer, (heavy accent, poor English, no idea how the IRS really works, etc.), but his timing could not have been worse . . . for him. And, it gave me the opportunity to have a little fun.
You see, it was mid-January 2019, and the conversation went something like this:
Scammer: I am with IRS. You have not paid taxes, and police are now coming to your house to arrest you.
Me: Oh, that’s terrible! But, I’m really concerned about you. I can’t believe you are working today.
Scammer: You should not be concerned about me. Police are coming to arrest you."
14,"It was one of those Microsoft scammers. It was 8:30 on a Sunday morning, and I just wasn’t in the mood. I said “Look, I know this is a scam. Save your time and mine - call somebody else”. No, no it wasn’t a scam, he insisted. I asked him how he could face his children at night, knowing what he did all day. Has he told his mother what he does? She must be really proud of him. He said “You can’t talk to me that way, you ***”. So I hung up.
And he called back. “You hung up on me! Why did you hang up on me?” I told him he was a lying thief and he just swore at me. I won't have strangers swearing at"
15,"A few weeks ago, a scammer contacted me by text claiming he was Mark Zuckerberg, and I had won $10,000,000 and a truck.
Mr. Zuckerberg informed me that all I had to do to get my money and my truck was to pay the $300 delivery fee. However, I was only allowed to pay by Google Play card.
I get a kick out of scambaiting, and our exchange went something like this:
(After I was informed of my winnings)
Scammer: OK, I need your name, address, email, and phone carrier.
Me: I am Pablo Escobar, of 2116 Chihuahua Avenue, Portobello, New Mexico, 86753–09, and I use T-Mobile."
16,"When my husband was alive … we LOVED messing with the scammers and unsolicited callers. It normally started with my husband acting concerned and seemingly listening carefully. And it ended with me yelling at him that I was sick and tired of him not paying attention to me while having sex and if he didn’t get off the phone immediately I was leaving him. My husband would then stammer and explain, “My wife is simply insatiable and never leaves me alone …” Then he’d hang up. They never called back.
Another story that just happened yesterday was my daughter’s phone rang … she’s six and her only acce"
17,"This just happened a few weeks ago:
ANGEL: Hello?
SCAMMER: Yes, good day. I am calling on behalf of your insurance carrier. We have an exciting new program only for clients who have had clean driving records for the last five years. This new program can save you up to 30%. Our records show you qualify for this new program. Can we sign you up for it today?
A: Car insurance?
S: Yes, it is a program offered through your car insurance policy. As you have a clean driving record, our records show you could qualify to save up to 30% on your bill with our new program!"
18,"I was in our office studying on the computer, when the phone rang. Knowing my parents were busy outside, I answered it myself.
Me: Hello?
Person: *strong accent that’s hard to understand* Is that (mum’s name)?
Me: No, it's her daughter, who is this?
“Fred”: I'm Fred, calling from (an internet provider we were not with) technical department, there is problem with your internet connection!
Me: Uh… nothing’s wrong with our internet, do you want me to get my mother?"
19,"I had one of those “Windows” calls from India one afternoon. The young man said my computer, identified by the IP address was at risk. Since I had nothing going on at the time, I decided to mess with him.
Now understand, I began my IT career in the late 70’s, and have worked continually in Telecommunications since then. The computer I use is about the fifth one I built to my own specifications, being dissatisfied with the factory machines.
I responded with, “What computer? I don’t have a computer”.
The young lad was insistent that my computer was open to hacking, and he needed to help me fix it.
I"
20,"Cell phone rings and the caller ID comes up with my daughter-in-law’s number, so I answer it with “Hello, Trudy” and a rough, deep male voice starts into his credit card scam script. I instantly realize what is going on and interrupt with something like, “Trudy are you OK? Your voice sounds strange.” And he keeps right on with his script so after a few more interruptions by me I change over to “What have you done to Trudy? You are calling from her phone. Where are you and what do you want?” in a very upset sounding voice. After a few more repeats similar to that he just hung up on me.
When my w"
21,"I got the scammer to give me his bank account details so that I could “transfer the money” immediately. The scammer was overjoyed at thinking he was going to get a lot of my hard-earned dough. I engaged him in conversation for a few minutes, and then I told him:
I’m an officer from the National Crime Directorate, tasked with international computer fraud offences. He went silent. I thanked him for being so open with me, and so patient. I then explained that his bank account was being frozen, his voice had been recorded by speech recognition software, and finally, that his location had been captu"
22,"About 10 months after my parents passed away (they passed 4 months apart), I received a phone call on their land line:
Scammer: Hello, may I speak to Mrs. X?
Me: Who’s calling?
Scammer: This is “Joe” from XYZ Construction. We’re ready to start work on your remodeling project you contracted with us. I’ll be in your area tomorrow, and would like to pick up the $15,000 deposit that’s due in order for us to begin work. What time is good for you?
Me: We don’t have any remodeling project planned.
Scammer: Yes, you do. You signed a contract last month for us to remodel your kitchen and bathrooms. We’ve or"
23,"I like to mess with scammers, so I've had a few odd ones, but my favorite wasn't me messing with the scammer as much as timing. I was at the Phoenix IRS office, and I got a call from a scammer claiming to be IRS, from a Phoenix number. I said I would come right up, since I was in the lobby, and asked which office he was in. He called me a liar, and told me I had to go to Western Union, and wire the money. I repeated that I was in the lobby, and would come to his office and give him cash. The Secret Service was still treasury, not Homeland Security yet, and their uniformed service did security"
24,"Not really odd, but…
Woman calls about 9:30 one Monday morning telling me my insurance payments are way overdue and I must send $1,500 immediately or my car, house, and medical insurance policies will all be canceled.
I tell her my replacement leg hasn’t arrived yet, but I’ve got the cash here in my kitchen. And if she doesn’t mind seeing an amputee limping to the door could she come by and pick up the payment…?
We make an appointment for Tuesday at 1:15PM.
She arrives driving a nice Toyota SUV and leaves as a passenger in the back of the sheriff’s car.
And both of my legs remain attached just fine"
25,"Maybe it is just my imagination, but I think my “locked up” ploy has somehow made the rounds of all those backroom scam operations which call to say your computer has a virus.
Initially, I kept the “agent” and his manager on the phone for nearly an hour, until they finally just gave up. The exchange went something like this:
Scammer: Please press the Windows and CTRL key at the same time.
Me: I can’t. The computer is locked up. It won’t respond to the keyboard, and the mouse does not move.
Scammer: Turn the system off, then turn it on again.
Me: I can’t. The computer won’t shut down."
26,"I was going to pass on this question until I saw 98 people asked me to answer! WTF, people, go enjoy a good book! ;)
I had a phone scammer contact me saying he was with the IRS and he was very persistent. He had a heavy Nigerian accent and as soon as he identified himself as “Agent Johnson” (how creative) I knew what the game was. I acted like I was old and couldn’t hear well, and cooperated just enough to keep him on the line so I could screw with him more.
Scammer: “I am Agent Johnson with your Bureau of Tax Enforcement. We are putting a levy on your bank account because you owe us the money!”"
27,"I began getting calls daily from fake credit card companies offering to lower my interest rate. I quickly learned that pressing option 2 to be placed on the do not call list did not have any effect on the number of calls I received. I then decided to try engage a person to find out anything that could identify the caller to be able to report them. So my conversation goes like this:
Scammer: Yes, we can lower your interest rate. What is the balance on your credit card?
Me: What is the name of your company?
Scammer: We are credit card services.
Me: Credit Card Services ?"
28,"I’ll just post this reply of mine from 2017:
I knew this guy was a scam booger from the first seconds of his sleazy delivery. I don’t know why, but here’s how it went:
TM: Hello. I’m calling about the great number of police officers shot in the line of duty in the past few months and the devastation it has caused their families. Would you be willing to donate to Police Families Fund to help the wives and children of these murdered heroes?
Me: …. (smelling a rat) Sure. Put me down for $100. No, make it $200.
TM: Excellent, sir. Your gift will be so welcomed. And now, may I have your credit card inf"
29,"I’ve gotten the “We’re going to suspend your SS # for fraudulent activity”.
The “gentleman” with the obviously foreign accent (glad everybody is working, but seriously, we all know the accent is the first clue something is wrong) tells me he is Agent Steve so-and-so, and there has been fraudulent activity reported on my SS# and it is being suspended unless I can prove it’s mine. I ask him for the last 4 digits.
Of course, “for my security”, he can’t give me that. I have to confirm it.
I’ve given him several variations of the numbers that correspond with a certain four letter word and it was about"
30,"This incident happened 5–6 years back. There was a call on our land line phone.
On land line normally I receive phone calls from mutual fund people or people requesting to take AMC for washing machine, water purifier etc.
And they always ask for “saar”.
To know about ‘saar’ you may read my answer Vijaya Lakshmi's answer to What is the most Indian thing ever?
With a bored voice I said 'hello'
“Is it Mrs. Vijaya Lakshmi?” A male voice from the other side asked me."
31,"Not sure if this was a scam, but it sounded like one… It happened when I was about 21 years old and a university student.
—————
I was about to start making a cake and just as I was getting the bowl out, I got a call.
“I got a great opportunity for you that I think you will enjoy.”
Well, I am usually a polite person, so I asked,
“Will it cost me anything?”
“No, nothing at all,” he said.
“Very well, I am listening.”"
32,"It was a beautiful sunny summer Saturday at the University of Chicago campus in Hyde Park. I was doing my class assignment when my phone rang.
Me - Hello?
A lady responded -
Lady - Hello, am I talking to Mr. Saxena?
Me - Yes.
Lady - I am calling from IRS and this call is to inform you of an illegal international money transaction you did recently.
Me - Whaaat!?"
33,"I love when scammers call so much that it is almost an obsession with me. It brings a little sunshine to my day. I can actually write scripts for when they call. My husband swears that after a conversation with me they block my number!
Here’s a few gems: Once someone called me to tell me my computer from microsoft. “Thank you God you got back to me! I’ve been waiting a week for the repair man to call. Let’s get started!”
So he tells me to start by turning it on. I say I turn it on, and he gets to the part in the spiel where he it would give him power over the computer, where I say “Damn it! It"
34,"Ringgg
Hello?
Dad?
Yes?
It's me! Please help me! I don't know where I am, I'm so scared!
Calm down Victor, tell me what's going on.
They got me and they're gon…
(Rude, loud macho voice violently cuts into the conversation)
Hear me out now you ******, I'm a Mara Salvatrucha soldier and we got our hands on Victor right now, if you don't do exactly as I say we gonna ******* kill him."
35,"I have 4 reoccurring ones.
Using all sorts of convoluted language they get me to press windows key+r. This opens a run window. Except it doesn't say run in my language. They say, now you see a window that says run, I say no in see a window that says kør. Conversation usually goes south from there, until I start singing local Christmas songs.
They call me from windows support. And I act all thankful and overjoyed, and start going on an on about my thermo windows that are still under warranty.
We start chatting away, and I start yelling at non existing kids, dogs, cats, and ask him to start over… a"
36,"My old taxi boss had one of the taxis up on a jack and had removed the wheel. He was checking the brakes and I stood next to him and I passed him tools while we chatted. My mobile phone rang so I answered it.
Me - Hello
Caller - Hello, Sir. May I ask you about…
I stopped listening and decided they were either a scammer or a plain old “waste of time” caller.
Me - Sorry old bean I’m a wee bit tied up at the moment.
Caller - … and our special offer includes…
He didn’t appear to be listening…"
37,"I was napping on a Friday afternoon after a grueling work week a few weeks ago. My cell phone rang with an 800 number and I ignored it. It rang again and I answered without speaking so they’d stop calling.
A voice said it was American Express fraud division and there had been suspicious charges. I picked up.
She told me my Amex number, address, and exp date. She then asked if I’d purchased a one way airfare from Iowa and a Walmart charge from the same area. Nope.
I asked her what my last legit charge was on the card and she knew. I also looked up the number she was calling from and it looked legi"
38,"I have a home office and I was at my desk when I got a call from “Microsoft support,” saying that my computer might have been at risk and to check if X program was running (a standard MS service that is always running). I checked and said, “Oh my God, it is running. What should I do?”
She said they could help but would need remote access to my computer and started to give me directions on how to do when I said, “Oh, oh. The boss will be here in a few minutes and we’ve got dozens of computers. I’m going to go shut them all off before he gets here. Give me your number and I will call you back as"
39,"This must have been odd for the scammer, as she let me go on for 15 minutes!
I’m driving home during rush hour traffic and answer my hands free device. I hear “this is agent Whatever from the IRS, records show a problem with you last year taxes, you owe back taxes and there is a warrant for your arrest”
Me: (in a fake broken English, staccato accent) no, no, you wrong, I no pay tax
Agent: ma’am, you have to pay your taxes
Me: no, I no like tax
Agent, ma’am you still have to pay them"
40,"Just last Saturday morning. I live in Germany so I speak German. Early morning the telephone rang and since I was close I picked it up. After 5 or 6 seconds - so that I guessed it was a scam - an Indian accent came on and asked if I spoke English. I very tentatively volunteered that I could a little ( I each English at the Uni). A man introduced himself as John from Microsoft. Being polite, I introduced myself as being Ramjam.
John then said ""You have a Microsoft right""
No, I don´t I replied
Yes our records say you have a Microsoft right, he insisted
""You´re sending me a c
omputer!"" I gushed.
""NO"
41,"A few days ago got a spoofed call from ""911"".
A male voice asked for me and I confirmed that it was me. He then introduced himself as a cop and said he had a warrant for my arrest.
This isnt possible for numerous reasons.
911 will never call you
Police will not call you and tell you, they will find you
The whole vibe was shady
With that gut feeling, I told him it was illegal to impersonate a police officer and exaggerated some stuff about it being a felony and him going to jail. I dont know about all that, just wanted to scare him."
42,"I never answer unknown numbers anymore, but a long time ago I got a scam call claiming to be some prize issuer. The guy started off with the spiel of “Mister Berry” and claimed I’d definitely won a prize. He listed off several potential prizes. Let’s say it was a new car, A stereo system, a luggage set, a bedroom set or a million dollars “Now I am not at liberty to tell you which prize you won, but let’s just say you will have A Million Reasons to thank me”. Then started this claim that I would need to send them $200 to release this prize. Even though I was pretty young, I knew that it was act"
43,"This isn’t my oddest, but more like my best interaction with a phone scammer.
I was hanging out with my BFF at my house while my toddler son was taking his nap when I got the phone call. “Hello, I am calling from Microsoft to inform you that you have a virus on your computer” said the voice with a HEAVY India-area accent.
Now my partner used to work for MS in Seattle, and I am all too familiar with"
44,"This happened while I was home, watching Gone in 60 Seconds on DVD
TM: Hello, is Mister … um… Gregorio Perez there?
Me: (Smelling a “wrong number” sales scam) NO.Wrong Number.
TM: Oh, are you Hispanic too? (switches to Spanish) Because we happen to have this great vacation offer, it would be a shame if it went unused…
Me: (definitely finding myself in a sales scam). NO, I am not interested, young lady. I don’t go on vacations.
TM: Please, it’s a really good offer, and everyone loves going on vacations."
45,"I get so fed up with these. In Canada we have the no call list, but all they did was move the call centers out of the country. So, obviously the calls come in with predominantly East Indian accents. I happen to have some very good East Indian friends and understand a little of their culture, a strong point of which is how much respect and care they have for their elders.
Scammer: The usual greetings, including the name (today it is Arun), a request for my name and how I am doing today.
Me: Arun! How nice to hear from you. You sound like such a nice young man. Are you married?
Arun: yes ma’am, but"
46,"This is Mike from Microsoft we have been notified of a virus in your computer..Mike is either from India or Pakistan…
Me..Which one?
Mike.. How many do you have
Me.. Three, A desk to, a laptop and a Fornitz. Fornitz is a made up word
Mike .. We need you to turn on your computer.
Me. It’s upstairs on the 2nd floor, I’m in the basement, I’ll walk upstairs and turn it on. Hold on.. I make some noises like walking and say I have to rest for a minute, I barely made it to the first floor. I make more noises and say I’m on the 2nd floor, this has taken about a minute or a little longer."
47,"This happened while we were living in Tasmania for a while. It was one of the callers asking for my wife and wanted to only speak with her. The caller said that he was calling from the US. I said that she wasn’t at home (she really wasn’t) and that I could take a message. The caller said that he would call back later. An hour later, the call promptly came. I gave him the same message and asked him not to disturb me. I thought that that was the end of it and promptly forgot about it. The next day the same call came through. I was irritated and as was at the end of my patience and told him rudel"
48,"“Hello, can I speak to James England please?” asked the caller.
Me: “I do not know any James England.”
Caller: “Are you at “a certain address?”
Me: “Yes, but I still don’t know any James England”.
Caller: “Did you fill out an on-line survey?”
Me: “No.”
This went on for two weeks, different callers every time, most in the first few days. The surname and address were correct, but I knew nothing more about it.
Finally I asked where the caller had got the information from."
49,"Phone rings. I answer.
Heavily accented voice: “Hello sir, I am Randy, calling from the Windows Refund Department. I am calling to give you your money back.”
Me: “Ah, so you’ve switched up your scam now?”
'Randy’: “Yes sir”
Me: “At least you’re honest about it! But sorry, I’m not interested in this scam either.”
‘Randy’, in incredulous voice: “You don’t want your money back?”
Me: “No, I’m good. Is this scam working out better for you than the Windows technical support scam?”"
50,"“What is the oddest conversation you've had with a telephone scammer?”
I got the standard ‘This is Windows Support” call from India. “We are calling to tell you your computer has been hacked, there are viruses on your hard drive, and we need to help you get them off because they are infecting the rest of the Internet.”
So I played along for about fifteen or twenty minutes, until we got to the download part of the scam, and I told him I did not have an internet connection. There was a silence on the other end of the line,
“You don’t have internet?”
“Nope, no internet.”
The guy was stunned. After a m"
51,"It was a typical IRS scammer with an Indian accent and a bland American name, say, Joe Black. Something that is also relevant is that prior to becoming a psychologist, I was a CPA—I specialized in taxes.
Joe Black called me and ran through the typical litany of errors on my tax returns, charges have been filed, sheriff’s on the way unless I’m willing to pay up.
Instead of doing my usual, “Look buddy, you really called the wrong person. I was a CPA who worked on tax matters,” and hanging up, I decided to have fun with him.
“Please send the sheriff over here right away. I’m so lonely. I’m an old la"
52,"A scammer in India called me. I asked him where he was. He said “India.” I asked him the state and city. I asked him his real name. Having spent considerable time in India, I could talk about where he lived, discuss political issues. I asked about his family, who he lived near.
I told him that it was obvious that he was doing a scam, and how he felt about endeavoring to swindle people, asked him if his mother and father would be proud of a son who was a cheat.
He shed some tears, said he hated his job, was throughly ashamed of himself and we had a long discussion of how he ended up doing this, w"
53,"Scammer: (with a heavy Indian accent)Hello, I’m calling from the US Treasury Dept to tell you about an interest free government loan for up to $20,000 you are entitled to. You can use this money for anything you would like, to start a business, buy a car, go on a vacation….
Me: (speaking with a heavy Russian accent) Can I use this money for the Prostitutes?
S: Excuse me?
Me: The Money, Can I use this money for the prostitutes?… Hookers… Whores… You know Prostitutes!!!
S: what.. why do you…
Me: I very much like to have the sex with the young, thin, beautiful women, But my wife, once she was young, s"
54,"This was odd because I chose to spin it around on the scammer, and he didn’t know what to do. So it was odd for him.
I had a run of “Windows Support” calls over several weeks. On one occasion I strung them on for nearly 40 minutes, but that’s another story.
This particular night I was in the middle of cooking dinner, and in a rush. Phone rings with a withheld number. I answer it, and hear “Sir, we are calling from Windows Support, you have very bad virus.”
I quickly wailed down the phone “I don’t wanna diiiiiiieeeeee” and added fake sobbing on the end. He quickly stammered “No no no, not you sir,"
55,"I’ve had some odd conversations with telephone scammers but my favorite example of how to respond came while sitting in a restaurant in the Myrtle Beach area of South Carolina. It was biker weekend and hundreds, if not thousands, of bikers were there. With all the images some people have of bikers, this story might change that.
At another table near us were three ‘biker dudes’ with their girlfriends, all six in leather and all having a good time when the cell phone of one of the guys rang. Although we were close by, I couldn’t hear his conversation too well at first, but after a minute I realiz"
56,"Two things:
I love to poke the bear any time I get the opportunity to do so.
I speak Japanese.
Speaking a second, a non-European language not typically known to most, allows me to have a lot of fun with both telemarketers and scammers.
The phone rings, I hear the pause indicating a robodialer software is now transferring the call to a telemarketer…
(Read the following using your best Mr. Miyagi voice who has taken himself off his meds…)"
57,"It was some couple of years back.
Scammer : Sir, you've won Rs.10cr.
I tried to play a bit.
Me : I be double-dog-damned. Count them zeroes.
Scammer : Sir, counted. It's right.
Me : Then I'm disconnecting because the quoted figure is not realistic.
Scammer : Sorry sir, wait.. wait. It's Rs.100 cr.
At this point I lost it and I switched to my level."
58,"Thanks for asking. This is an old blog post but remains my favorite interaction. It is lovingly referred to as the “Space Scotch” call.
I spent the better part of my thirties in a briar patch of debt. I didn’t owe a lot, but I wasn’t making a lot, paid child support and owed a lot of different companies (mainly utilities) small amounts. Then I went into default on my student loans which, if you’re not familiar with the caste system of credit, is less preferable than being declared “dead”. I have since fought my way back to mediocre credit, but I still get calls from credit companies demanding m"
59,"Last week I had an IRS scammer call me. I didn’t know about this scam, and they were really smooth. At one point, he asked me for the phone number for the local police department and I gave it to him. Then he told me to stand by for a call from my local police department which happened (verified same local phone number I gave him). The local police department instructed me to cooperate with him. He tried talking me into putting all of my money into “a safe account” because they were freezing my Social sSeurity number because of fraud.
I’m embarrassed to say that I spent 40 minutes on the phone"
60,"We had a heavy hailstorm near where I live, but my home and surrounding area were spared—from the hailstorm, but not from the roofing scammers! One particular salesman called me persistently, insisting that my husband had scheduled a roof inspection. He called when I was having lunch with a friend. I had my phone on speaker so my friend “Joy” could hear how insistent this guy was.
Salesman: I was scheduled by your husband to do an inspection today! We need to get this done!
Me: How did he contact you?
Salesman: Oh, he called me. We got it set up!
I took a deep breath and told him, “Well, it must h"
61,"As many people I have many scammers ringing to sell me something, sometimes if I’m bored I’ll play along for a bit.
I was on a long car journey and my phone rang, and the first question was “have you had a car accident in the last 3 years that wasn’t your fault?”
Yes was my response, but as it was upsetting I dint want talk about it.
Eventually after much pressure from the wonderful saleswoman, she managed to pry some information from me.
Someone very close to me terribly left this mortal realm to converse with the angels. (And yes this is how my language is on the conversation) the whole call las"
62,"I had a couple of doozies.
About a month ago, I received a call on my cell phone from my house phone. I answered it, because I thought either my husband or my daughter might be calling from that phone.
Nope, extended car warranty.
I kept asking why they were in my house, how did they get in, where was my husband, and what kind of joke this was until the very frustrated caller told me to call the main office AND ACTUALLY GAVE ME A WORKING NUMBER!
You bet I called - and kept asking the man who answered the same questions, until he hung up on me. I called back, and went through the same routine until"
63,"This was a rather sad moment for me at the time.
It was a bill collection service. Right after my wife passed away I settled all of her outstanding bills. There was one that a collection agency brought that was years old that we settled years ago. The agency wanted to speak to my wife. I explained that she had just passed away. I was then asked when do I expect her back. I said you do not understand. She is deceased. The reply was “ that is fine, when well she be back for me to talk to her. After a few minutes of this I finally said to call 1–800-Heaven if you want to speak with her. They thank"
64,"a scammer telling me that he was going to murder me and then rape my mother and sister was definitely the oddest experience with a scammer.
the story
My ex wife was a moron
One day, she received a call from a man with an Indian accent. The man told her that he was from Microsoft, and that her laptop was infected with a virus.
He told her they could fix it for her for a mere $100, all she had to do was provide her credit card info.
So my genius ex gives the guy her mom’s credit card. This was before we were married and my ex was still somewhat on her parents’ tit. The problem was that the guy forgot"
65,"Telemarketer: if you take advantage of our special price today, you can cancel at anytime.
Me: Thank you. I accept your offer of the subscription. I also wish to give my notice of cancellation at this time.
Telemarketer: But sir, you can’t do that.
Me: why not? You offered me a monthly subscription which I accept. But you also said I can cancel at anytime. So, now is as good a time as any other time.
Telemarketer: I cannot accept cancellation. You need to call another number, once your subscription is active.
Me: But that’s not what you offered."
66,"I was driving home from picking my son up from school and I received a phone call with the recording telling me that I have information concerning your credit card debt please do not hang up . I said to my son OK let’s play
SCAMMER: I have information that can help you lower your credit card debt we can transfer your current credit card to our low interest program
ME. Wow that sounds really good can you tell me more
SCAMMER yes all I need is your current credit card number and I can do the transfer immediately
ME. Oh my gosh that is wonderful can you hold on a moment I’m trying to get my son secur"
67,"Lol!… The question makes me laugh because the timing is so apt.
Just some hours ago, I finished seeing the Con Man movie about the life of Barry Minkow. The guy was really a con genius. He probably should have spent his senses being a better salesman for his company, the legit way.
Back to the question.
For starters, when a conversation with a scammer gets weird, that totally means “scamming gone wrong!”
I once had a phone call from a scammer who claimed to be from my bank telling me that my account has been blocked because of a recent upgrade they were doing on their “scamming system”, purported"
68,"I blatantly ripped this off some internet page and keep using it. It tends to end with someone on the other side either hanging up or laughing so hard I think they’re wetting their pants:
I pick up the phone and before they even say anything I start my rambling “It’s done… (breathing heavily and as soon as I hear they’re about to start talking I continue..) But there’s blood everywhere.. (panting, panting) The bloody old geezer put up one hell of a fight, there’s brains splattered on the walls… But it’s done… You need to send a cleaner and don’t call me on this number again.”
I’ve got a few vari"
69,"I get these calls fairly regularly. So I looked up a special phone number.
Then I get the 11.00am scammer call
Scammer: I’m calling because you have a problem with your Windows computer
me: Really? That sounds serious, thank you for bringing it to my attention. But listen, I need you to call me back on my business phone number, will you do that please? That way I’ll be next to the computer.
scammer: okay, what is the number, please?
me: I gave him the number and made sure he repeated it to me… Okay, I will wait for your call on the other line"
70,"Scammer(s) - I’m calling regarding the car accident you were involved in.
Me(m) - Wow you are so lucky to have got hold of me.
S - We can help you get compensation.
M - Really I didn’t think I would be entitled.
S - Tell me how the accident happened.
M - I was travelling in a stolen car being chased by the police, the car went through a red light and we hit a car that had come through a green light.
S - We can definitely get you compensation."
71,"I once convinced a guy I was an elderly retired millionaire who was going to fire his personal tech support team for allowing the virus, then gave him the runaround for about 20 minutes during a two-hour drive. He wanted me to install software to give him control of my PC. Every time I got close to installing it, I would tell him I had done something stupid and blame the virus.
Eventually I asked t"
